컨 Keon
령 Ryeong
켓 Ket
족 Jok
섬 Seom
닉 Nik
컨 Keon
령 Ryeong
냉 Naeng
립 Rip 
질 Jil
뚝 Ttuk
쇄 Swae
능 Neung
델 Del
찰 Chal
벤 Ben
쳐 Chyeo
률 Ryul
향 Hyang
윗 Wit
율 Yul
잔 Jan
족 Jok
령 Ryeong
템 Tem
럭 Reok
렌 Ren
존 Jon
햇 Haet
살 Sal
텐 Ten
괴 Goe
쉘 Swel
속 Sok
쁘 Ppeu
띠 Tti
컵 Keop
까 Kka
꼬 kko
뽀 ppo
씨 Ssi
씽 Ssing
앞 Ap
팩 Paek
혁 Hyeok
까 Kka
머 Meo
믕 Meung
컵 Keop
립 Rip
약 Yak
게 Ge
팡 Pang
능 Neung
쿨 Kull
홀 Hol
렌 Ren
커 Keo
훈 Hun
렌 Ren
찬 Chan
립 Rip
솜 Som
약 Yak
갤 Gael
럭 Reok
쪽 Jjok
널 Neol
죽 Juk
덤 Deom
맞 Mat
풀 Pul
큰 Keun
끌 Kkeul
입 Ip
및 Mit
독 Dok
획 Hoek
옆 Yeop
째 Jjae
력 Ryeok
쁨 Ppeum
링 Ring
칠 Chil
턴 Teon
샹 Syang
곰 Gom
는 Neun
놀 Nol
븐 Beun
털 Teol
뎀 Dem
꽃 Kkot
짬 Jjam
뽕 Ppong
첨 Cheom
몬 Mon
콤 Kom
팔 Pal
압 Ap
적 Jeok
징 Jing
페 Pe
돌 Dol
넝 Neong
녕 Nyeong
턴 Teon
뮤 Myu
뎅 Deng
샛 Saet
있 It
넬 Nel
키 Ki
봄 Bom
옷 Ot
낸 Naen
꿀 Kkul
님 nim
킨 Kin
각 Gak
걷 Geot
릇 Reut
헬 Hel
쭈 Jju
꾸 kku
룩 Ruk
슈 Syu
젼 Jyeon
갑 Gap
숍 Syop
랙 Raek
접 Jeop
말 Mal
퓨 Pyu
것 Geot
말 Mal
힘 Him
멜 Mel
봇 Bot
쎈 Ssen
친 Chin
륭 Ryung
짜 Jja
콜 Kol
또 Tto
삐 Ppi
탕 Tang
총 Chong
넷 Net
팜 Pam
썸 Sseom
습 Seup
